node_idx,description
0,"This node has direct edges to 20 out of the 398 other nodes in the network (degree centrality 0.0503 × 398 ≈ 20). Its closeness centrality of 0.4477 corresponds to a mean shortest-path distance of 1 / 0.4477 ≈ 2.23 hops to reach any other node in the graph. The betweenness centrality of 0.0000 indicates that this node does not lie on any shortest paths between other pairs of nodes, resulting in 0% of all paths being mediated by this node. The clustering coefficient of 0.7158 signifies that approximately 71.58% of the node's 20 neighbors are directly connected to one another, indicating a highly interconnected local neighborhood. The square clustering coefficient of 0.2839 reflects that about 28.39% of potential four-node cycles (squares) are closed among the node's neighbors, illustrating the prevalence of connections through paths of length two among those neighbors."
1,"This node has direct edges to 17 out of the 398 other nodes in the network. Its degree centrality of 0.0427 corresponds to this actual neighbor count (degree centrality × 398 = 0.0427 × 398 ≈ 17). The closeness centrality of 0.4477 indicates a mean shortest-path distance of approximately 2.23 hops to reach any other node in the graph (1 / 0.4477 ≈ 2.23). The betweenness centrality of 0.0000 means this node lies on 0% of all shortest paths between other pairs of nodes, indicating it does not serve as a bridge in the network. The clustering coefficient of 0.7941 suggests that around 79.41% of the node's 17 neighbors share direct edges with one another, reflecting a high level of interconnectedness among neighbors. Lastly, the square clustering coefficient of 0.3218 indicates that approximately 32.18% of potential four-node cycles (squares) are closed among this node's neighbors, illustrating a moderate degree of connection through paths of length two in addition to direct edges."
2,"This node has direct edges to 19 out of the 398 other nodes in the network. Its degree centrality of 0.0477 is verified as 19. Closeness centrality of 0.4502 corresponds to a mean shortest-path distance of approximately 2.22 hops to reach any other node in the graph (1 / 0.4502 ≈ 2.22). The betweenness centrality of 0.0000 indicates that this node does not lie on any shortest paths between any other pairs of nodes, representing 0% of all such paths. The clustering coefficient of 0.7427 indicates that approximately 74.3% of this node's 19 neighbors share a direct edge with one another, indicating a relatively dense local network structure around this node. The square clustering coefficient of 0.3109 means that around 31.1% of the potential four-node cycles formed by its neighbors are closed, reflecting some level of interconnectivity through paths of length two among the neighbors of this node."
3,"This node has direct edges to 35 out of the 398 other nodes in the network (degree centrality 0.0879 × 399 ≈ 35). Its closeness centrality of 0.4914 corresponds to a mean shortest-path distance of 1 / 0.4914 ≈ 2.03 hops to reach any other node in the graph. The betweenness centrality of 0.0004 indicates that this node lies on approximately 0.04% of all shortest paths between every other pair of nodes. The clustering coefficient of 0.6151 signifies that about 61.5% of the node's 35 neighbors are connected directly to each other, indicating a relatively dense local neighborhood. The square clustering coefficient of 0.2759 shows that approximately 27.6% of potential four-node cycles (squares) are closed among the node's neighbors, reflecting a moderate level of connectivity through paths of length two in addition to direct edges."
4,"This node has direct edges to 101 out of the 398 other nodes in the network (degree centrality 0.2538 × 398 ≈ 101). Its closeness centrality of 0.5574 corresponds to a mean shortest-path distance of 1 / 0.5574 ≈ 1.79 hops to reach any other node in the graph. The betweenness centrality of 0.0161 indicates that this node lies on approximately 1.61% of all shortest paths between every other pair of nodes in the network. The clustering coefficient of 0.3396 signifies that about 33.96% of the node's 101 neighbors share a direct edge with one another, reflecting a moderate level of local connectivity. The square clustering coefficient of 0.2056 indicates that 20.56% of potential closed four-node cycles (squares) among the node's neighbors are present, demonstrating a notable proportion of connections through paths of length two in addition to direct edges."
5,"This node has direct edges to 89 out of the 398 other nodes in the network (degree centrality 0.2236 × 398 ≈ 89). Its closeness centrality of 0.5460 corresponds to a mean shortest-path distance of 1 / 0.5460 ≈ 1.83 hops to reach any other node in the graph. The betweenness centrality of 0.0053 indicates that this node lies on approximately 0.53% of all shortest paths between every other pair of nodes. The clustering coefficient of 0.4134 signifies that about 41.34% of the node's 89 neighbors share direct edges with one another, indicating a moderately dense local neighborhood. The square clustering coefficient of 0.2323 measures the fraction of potential four-node cycles (squares) that are closed among the node's neighbors; here, 23.23% of such cycles are present, reflecting the extent to which neighbors are connected through paths of length two as well as direct edges."
6,"This node has direct edges to 138 out of the 398 other nodes in the network (degree centrality 0.3467 × 398 ≈ 138). Its closeness centrality of 0.5940 corresponds to a mean shortest-path distance of 1 / 0.5940 ≈ 1.68 hops to reach any other node in the graph. The betweenness centrality of 0.0214 means this node lies on approximately 2.14% of all shortest paths between every other pair of nodes. The clustering coefficient of 0.2746 indicates that about 27.5% of the node's 138 neighbors share a direct edge with one another, reflecting a moderate level of local interconnectedness. The square clustering coefficient of 0.1931 measures the fraction of potential four-node cycles (squares) that are closed among the node's neighbors; in this case, 19.3% of such cycles are present, indicating a limited presence of indirect connections between the node's neighbors in addition to direct edges."
7,"This node has direct edges to 89 out of the 398 other nodes in the network (degree centrality 0.2236 × 398 ≈ 89). Its closeness centrality of 0.5328 corresponds to a mean shortest-path distance of 1 / 0.5328 ≈ 1.88 hops to reach any other node in the graph. The betweenness centrality of 0.0087 indicates that this node lies on approximately 0.87% of all shortest paths between every other pair of nodes. The clustering coefficient of 0.3391 reflects that about 33.9% of the node's 89 neighbors are mutually connected, signifying a moderate level of local interconnectivity. The square clustering coefficient of 0.2076 implies that 20.76% of potential four-node cycles (squares) among the node's neighbors are closed, showcasing the extent to which neighbors are connected through paths of length two in addition to direct edges."
8,"This node has direct edges to 112 out of the 398 other nodes in the network (degree centrality 0.2814 × 398 ≈ 112). Its closeness centrality of 0.5670 corresponds to a mean shortest-path distance of 1 / 0.5670 ≈ 1.76 hops to reach any other node in the graph. The betweenness centrality of 0.0148 means this node lies on approximately 1.48% of all shortest paths between every other pair of nodes. The clustering coefficient of 0.3205 indicates that about 32.05% of the node's 112 neighbors share a direct edge with one another, indicating a moderately connected local neighborhood. The square clustering coefficient of 0.2013 reflects that 20.13% of potential four-node cycles among the node's neighbors are closed, demonstrating how frequently the neighbors are interconnected through paths of length two alongside direct edges."
9,"This node has direct edges to 144 out of the 398 other nodes in the network, corroborating its degree centrality of 0.3618 (degree centrality × 398 ≈ 144). Its closeness centrality of 0.5985 corresponds to a mean shortest-path distance of approximately 1.67 hops to reach any other node in the graph (1 / 0.5985). The betweenness centrality of 0.0200 indicates that this node lies on about 2.00% of all shortest paths between every other pair of nodes in the network. The clustering coefficient of 0.2889 implies that approximately 28.9% of the 144 neighbors share direct edges with one another, indicating some local connectivity. The square clustering coefficient of 0.1933 means that about 19.33% of potential four-node cycles (squares) are closed among the node's neighbors, reflecting the extent to which neighbors are interconnected through paths of length two as well as direct edges."
10,"This node has direct edges to 75 out of the 398 other nodes in the network (degree centrality 0.1884 × 398 ≈ 75). Its closeness centrality of 0.5176 corresponds to a mean shortest-path distance of 1 / 0.5176 ≈ 1.93 hops to reach any other node in the graph. The betweenness centrality of 0.0053 indicates that this node lies on approximately 0.53% of all shortest paths between every other pair of nodes. The clustering coefficient of 0.3748 suggests that about 37.48% of the node's 75 neighbors share a direct edge with one another, forming a moderately connected local neighborhood. The square clustering coefficient of 0.2153 measures the fraction of potential four-node cycles (squares) that are closed among the node's neighbors; here, 21.53% of such cycles are present, reflecting the degree to which neighbors are interconnected through paths of length two, in addition to direct edges."
